Fund,Object,Part I,Part XIII line 1,"Part XIII line 2, 3",Part XIII line 4,Part IX
25131,44301,B13,,,,
25141,44301,B13,,,,
25145,41924,,,,,
25145,44301,B10,,,,
25146,41980,B13,,,,
25146,44301,B13,,,,
25147,41924,,,,,
25147,41980,B10,,,,
25147,44301,B10,,,,
25150,41980,B13,,,,
25150,44301,B13,,,,
25152,41980,B13,,,,
25152,44301,B13,,,,
25152,43214,B13,,,,
25153,11112,,,,,
25153,41500,U22,,,,
25153,41510,U22,,,,
25153,41980,B10,,,,
25153,43214,B10,,,,
25153,44301,B13,,,,
25153,44504,C20,,,,
25157,44301,B13,,,,
25171,44301,B13,,,,
25179,44301,B13,,,,
25180,44301,B13,,,,
25181,44301,B13,,,,
25183,44301,B13,,,,
25184,41980,B12,,,,
25184,44301,B12,,,,
25184,44504,B12,,,,
25194,44301,B13,,,,
25200,41980,B13,,,,
25200,44301,B13,,,,
25201,44301,B12,,,,
25204,44301,B13,,,,
25205,41980,B13,,,,
25205,43203,C13,,,,
25205,44301,B13,,,,
25208,41980,B13,,,,
25208,44301,B13,,,,
25211,44301,B13,,,,
25222,44301,B13,,,,
25232,44301,B13,,,,
25233,41980,B14,,,,
25233,43214,B14,,,,
25233,44301,B14,,,,
25238,41980,B13,,,,
25238,43214,B13,,,,
25247,44301,B13,,,,
25248,44301,B12,,,,
25254,44301,B13,,,,
25265,44301,B13,,,,
25266,43203,C13,,,,
25267,44301,B13,,,,
25268,44301,B13,,,,
25269,44301,B13,,,,
25270,44301,B13,,,,
25271,43214,B13,,,,
25271,44301,B13,,,,
25272,44301,B13,,,,
25273,43202,C20,,,,
25273,44301,B13,,,,
25274,44301,B13,,,,
25275,44301,B13,,,,
25276,44301,B13,,,,
25277,44301,B13,,,,
26102,41921,U50,,,,
26102,41922,U50,,,,
26103,41921,U50,,,,
26103,41980,U97,,,,
26107,41510,U22,,,,
26107,41921,U50,,,,
26107,41922,U50,,,,
26107,41923,U50,,,,
26107,41955,U97,,,,
26107,41980,U97,,,,
26107,43214,U97,,,,
26109,41921,U50,,,,
26109,41980,U97,,,,
26111,41921,U50,,,,
26111,41923,U50,,,,
26113,41921,U50,,,,
26113,41922,U50,,,,
26113,41923,U50,,,,
26116,41921,U50,,,,
26116,41922,U50,,,,
26118,41921,U50,,,,
26121,43214,U97,,,,
26121,41510,U22,,,,
26121,41921,U50,,,,
26121,41922,U50,,,,
26123,41922,U50,,,,
26123,41510,U22,,,,
26123,41921,U50,,,,
26125,11112,,,,,
26127,41922,U50,,,,
26141,41920,U50,,,,
26141,41921,U50,,,,
26141,41980,U97,,,,
26143,41920,U50,,,,
26143,41921,U50,,,,
26146,41922,U50,,,,
26156,41921,U50,,,,
26157,41922,U50,,,,
26157,41980,U97,,,,
26159,43214,U97,,,,
26161,41921,U50,,,,
26161,41980,U97,,,,
26163,41500,U22,,,,
26171,41922,U50,,,,
26177,43214,U97,,,,
26184,41921,U50,,,,
26186,41921,U50,,,,
26186,41980,U97,,,,
26186,43214,U97,,,,
26187,41921,U50,,,,
26187,41922,U50,,,,
26187,41923,U50,,,,
26189,41921,U50,,,,
26191,41921,U50,,,,
26191,41922,U50,,,,
26195,41921,U50,,,,
26198,41921,U50,,,,
26199,41921,U50,,,,
26199,41922,U50,,,,
26200,41921,U50,,,,
26200,41922,U50,,,,
26204,41115,T99,,,,
26204,41500,U22,,,,
26204,41510,U22,,,,
26204,41921,U50,,,,
26204,41922,U50,,,,
26204,41923,U50,,,,
26204,41980,U97,,,,
26205,41921,U50,,,,
26207,41921,U50,,,,
26207,41922,U50,,,,
26210,41921,U50,,,,
26214,41922,U50,,,,
26218,41922,U50,,,,
26218,41510,U22,,,,
26218,41980,U97,,,,
26219,41921,U50,,,,
26220,41920,U50,,,,
26220,41921,U50,,,,
26220,43214,U97,,,,
26221,41920,U50,,,,
26222,41980,U97,,,,
26222,43214,U97,,,,
26222,46100,B13,,,,
26224,41920,U50,,,,
26233,41920,U50,,,,
26244,41920,U50,,,,
26244,41921,U50,,,,
26244,41922,U50,,,,
27101,41500,U22,,,,
27101,41510,U22,,,,
27101,41955,U97,,,,
27101,41980,C13,,,,
27101,43202,C13,,,,
27101,43212,C13,,,,
27101,43213,C13,,,,
27101,43214,C13,,,,
27101,43215,C13,,,,
27101,43216,C13,,,,
27101,44107,B13,,,,
27101,44205,C20,,,,
27101,45303,U11,,,,
27103,41980,C13,,,,
27103,43202,C13,,,,
27107,11112,,,,,
27107,41980,C13,,,,
27107,43202,C13,,,,
27107,43204,C13,,,,
27109,11112,,,,,
27109,41500,U22,,,,
27109,41510,U22,,,,
27109,41980,C13,,,,
27109,43202,C13,,,,
27109,43207,C13,,,,
27109,43211,C13,,,,
27114,11112,,,,,
27114,41980,C13,,,,
27114,43202,C13,,,,
27114,43204,C13,,,,
27117,43202,C13,,,,
27118,41980,C13,,,,
27118,43202,C12,,,,
27118,43204,C13,,,,
27121,11112,,,,,
27121,41980,C12,,,,
27121,43202,C12,,,,
27121,43204,C12,,,,
27123,43202,C09,,,,
27123,43204,C09,,,,
27126,11112,,,,,
27126,41924,,,,,
27126,41980,C13,,,,
27126,43202,C13,,,,
27126,43204,C13,,,,
27127,11112,,,,,
27127,41924,,,,,
27127,41980,C13,,,,
27127,43202,C13,,,,
27127,43204,C13,,,,
27130,41924,,,,,
27130,41980,C13,,,,
27130,43202,C13,,,,
27130,43204,C13,,,,
27131,43202,C13,,,,
27131,43204,C13,,,,
27133,43204,C13,,,,
27134,43202,C13,,,,
27135,43202,C09,,,,
27135,43204,C09,,,,
27136,43202,C13,,,,
27141,41980,C13,,,,
27149,11112,,,,,
27149,41924,,,,,
27149,41980,C13,,,,
27149,43202,C13,,,,
27149,43204,C13,,,,
27149,43214,C13,,,,
27150,41980,C13,,,,
27150,43202,C13,,,,
27150,43204,C13,,,,
27151,41980,C13,,,,
27151,43202,C13,,,,
27151,43204,C13,,,,
27152,43202,C12,,,,
27153,11112,,,,,
27153,43202,C12,,,,
27155,11112,,,,,
27155,41980,C13,,,,
27155,43202,C10,,,,
